Time,new iYali Biomass,new iYali Glucose,new iYali Propanoate,real data Biomass,real data Glucose,real data Propanoate
0,0.1,5.2,11.6,0.1,5.2875,11.546
1,0.11173800528992,5.17999606050826,11.5995557134479,,,
2,0.124888054525703,5.15758571200962,11.5990579806653,,,
3,0.139739154976778,5.13227642755528,11.598495862652,0.08,5.03,11.391
4,0.156312943310364,5.10403133388007,11.5978685404543,,,
5,0.175019351638448,5.07215182360041,11.5971604980355,,,
6,0.195783321926946,5.03676581081542,11.5963745763614,0.107,4.8675,11.278
7,0.219210759656622,4.99684070981096,11.5954878417522,,,
8,0.24524758824756,4.95246867803677,11.5945023410205,,,
9,0.274578285043523,4.9024832274031,11.5933921665208,0.215,4.5115,11.384
10,0.307218774755796,4.8468572189751,11.5921567154986,,,
11,0.343765183771811,4.78457473259519,11.5907734244153,,,
12,0.384778523323191,4.71467969144671,11.5892210588498,0.272,4.053,11.828
13,0.430556336343436,4.63666502207972,11.5874883567248,,,
14,0.481511227009427,4.54982756337061,11.5855597008648,,,
15,0.538676997340872,4.45240550719801,11.5833959615946,0.359,3.383,11.613
16,0.602763141565386,4.34318973163289,11.5809702843733,,,
17,0.674143648511456,4.22154288392998,11.5782685136265,,,
18,0.75340433779947,4.08646660875122,11.5752684759292,0.768,3.2115,11.478
19,0.843002966224771,3.93377239050088,11.5718771445476,,,
20,0.943033185852761,3.76330062708278,11.5680909747268,,,
21,1.05433216928521,3.57362460674679,11.5638782792662,1.5,2.714,11.574
22,1.17839709065309,3.36219284140061,11.5591823897355,,,
23,1.31815735743164,3.12401302711919,11.5538924273003,,,
24,1.47390751666405,2.85858319605671,11.5479972432783,3.49,2.4515,11.429
25,1.64694051092427,2.56369991207759,11.541447899457,,,
26,1.84178070374261,2.23165274295218,11.5340731475004,,,
27,2.05911693826229,1.86126776038384,11.5258469145164,4,2.1515,11.273
28,2.30076482611293,1.44945079425741,11.5167004791328,,,
29,2.57040819290853,0.989923859271248,11.5064944075923,,,
30,2.87048645965419,0.47852968773163,11.4951363671756,3.98,1.9365,11.229
31,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
32,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
33,3.15128035103068,-0.000000000576563528763501,11.4845082453806,3.98,1.378,11.51
34,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
35,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
36,3.15128035103068,-0.000000000576563528763501,11.4845082453806,4.1,1.163,11.507
37,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
38,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
39,3.15128035103068,-0.000000000576563528763501,11.4845082453806,4.12,0.9015,11.661
40,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
41,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
42,3.15128035103068,-0.000000000576563528763501,11.4845082453806,3.98,0.8575,11.623
43,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
44,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
45,3.15128035103068,-0.000000000576563528763501,11.4845082453806,3.86,0.8325,11.021
46,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
47,3.15128035103068,-0.000000000576563528763501,11.4845082453806,,,
48,3.15128035103068,-0.000000000576563528763501,11.4845082453806,4.15,0.405,10.535
